smiles,log_KOA
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,8.5
COC(C)(C)C,2.58
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.115
Clc1ccc(Cl)c2ccccc12,6.855
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.67
Brc1ccc(Oc2ccc(Br)cc2)cc1,8.64
Clc1ccc(-c2ccc(Cl)cc2)cc1,7.7
Clc1ccc2ccccc2c1Cl,6.826671564
Clc1ccc(-c2ccccc2)cc1,6.798145676
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,11.26327559
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,8.41
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,9.26
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.65
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,10.4195
Brc1cccc(Oc2ccccc2)c1,7.36
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,7.96
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,8.01
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.67
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.68
Clc1c(Cl)c(Cl)c2ccccc2c1Cl,8.314286202
CC(O)CO[N+](=O)[O-],5.62
O=[N+]([O-])OCCCCO,6.91
Cc1c(Br)c(Br)c(C)c(Br)c1Br,8.85
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.96
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.34
CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.32
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,9.494587456
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,8.77
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,8.99
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,9.63403572
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,8.345
Brc1ccccc1Oc1ccccc1,7.24
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,9.101388563
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.16
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,9.46
Clc1cc2ccccc2c(Cl)c1Cl,7.642399371
Brc1cccc(Br)c1Oc1ccccc1,8.12
Clc1cc2c(Cl)cccc2c(Cl)c1Cl,8.274245769
