No.,Compound.name,CAS.RN,log_Koa,smiles,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,nRings7,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.22,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.ssNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.ssssSi,khs.dsssP,khs.dssS,khs.ddssS,khs.sCl,khs.sBr,khs.ssssSn,khs.sI,Kier1,Kier2,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nHBDon,nHBAcc,bpol,apol,ExactMolWeight,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumRadicalElectrons,NumValenceElectrons,BalabanJ,BertzCT,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,MolLogP,MolMR,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumAmideBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA_1,PEOE_VSA_2,PEOE_VSA_3,PEOE_VSA_4,PEOE_VSA_5,PEOE_VSA_6,PEOE_VSA_7,PEOE_VSA_8,PEOE_VSA_9,PEOE_VSA_10,PEOE_VSA_11,PEOE_VSA_12,PEOE_VSA_13,PEOE_VSA_14,SMR_VSA_1,SMR_VSA_2,SMR_VSA_3,SMR_VSA_4,SMR_VSA_5,SMR_VSA_6,SMR_VSA_7,SMR_VSA_8,SMR_VSA_9,SMR_VSA_10,SlogP_VSA_1,SlogP_VSA_2,SlogP_VSA_3,SlogP_VSA_4,SlogP_VSA_5,SlogP_VSA_6,SlogP_VSA_7,SlogP_VSA_8,SlogP_VSA_9,SlogP_VSA_10,MQNs_1,MQNs_2,MQNs_3,MQNs_4,MQNs_5,MQNs_6,MQNs_7,MQNs_8,MQNs_9,MQNs_10,MQNs_11,MQNs_12,MQNs_13,MQNs_14,MQNs_15,MQNs_16,MQNs_17,MQNs_18,MQNs_19,MQNs_20,MQNs_21,MQNs_22,MQNs_23,MQNs_24,MQNs_25,MQNs_26,MQNs_27,MQNs_28,MQNs_29,MQNs_30,MQNs_31,MQNs_32,MQNs_33,MQNs_34,MQNs_35,MQNs_36,MQNs_37,MQNs_38,MQNs_39,MQNs_40,MQNs_41,MQNs_42,CHds,XHds,HBAs,HydA0,HydA,HydP0,HydP,Hyd0,Hyd,delta_g_sol_oct,HBA1,HBA2,HBD,logP,MR,MW,nF,TPSA
463,"2,3,4,4',5,5'-hexachlorobiphenyl",52663-72-6,10.47,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,0,7.694,360.8782192,1,1,2.12,12,10,19,0,22,12,12,7.3348,53.79929104,80.023,0,2,2,2,2,0,0,2,0,0,94,580,30,35.69329549,1.982960861,15.12299726,0,0,5.247927513,0,0.8,0.444444444,0,0,0,0,1.944161297,13.71343674,0,10.13812637,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14.4099723,5.551020408,0,223.06,0.666666667,258,13.44722928,8.396754606,8.112279485,6.839531562,4.935551965,3.856599866,2.626933026,1.486347371,13.11276159,6.961081334,5.914002702,4.536492894,2.706926279,1.806561776,1.111671407,0.556267572,4.098388439,5.371425317,7.849630724,2.581555127,2.883989834,3.699815259,1.673710822,0,0.60309862,0,1.115555883,0,0.36402155,0,0,0,0,0.111111111,0.397483363,0,0,0,0.041666667,0.162570011,0,0,10,2,0,0,0,0,1629.770752,1906.815915,2675.861655,2685.28512,2029.690473,64.27769945,30.71062384,51.42124767,78.51186804,59.89537685,0,0,6.892828,36.867172,357.8444162,0.5,1,1.555555556,356.85,0.083606685,0.077839927,0.077839927,-0.083606685,360.882,0,94,2.657935896,597.2000799,13.44722928,8.396754606,8.577187915,4.693294496,3.500037595,2.304787231,1.45480667,13.11276159,6.961081334,5.914002702,4.536492894,2.706926279,0.18,14.58622781,5.663673596,2.848294789,7.274,81.938,18,0,0,0,0,6,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,134.3080947,0,0,0,0,0,69.60563934,29.82891977,10.58608481,25.11316657,0,0,0,0,0,0,0,0,0,0,0,54.40126816,0,11.12690298,69.60563934,0,0,0,0,0,24.26546827,30.13579988,11.12690298,0,0,12,0,6,0,0,0,0,0,0,0,0,18,7,0,0,6,6,0,1,0,0,0,0,0,0,6,0,0,0,4,8,0,0,0,0,2,0,0,0,0,0,0,2.9676,0,0.9047,0.5123,0.122442639,-23.8971,-5.711543977,-22.7996,-5.449235182,-15.34187518,0,0,0,7.274,81.938,360.87816,0,0
464,"3,3',4,4',5,5'-hexachlorobiphenyl",32774-16-6,11.02,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,0,7.694,360.8782192,1,1,2.12,12,10,19,0,22,12,12,7.3348,53.79929104,80.023,0,2,2,2,2,0,0,2,0,0,94,587,30,35.69588947,1.983104971,15.09094462,0,0,5.247927513,0,0.8,0.444444444,0,0,0,0,2.289428485,13.56332206,0,9.913058173,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14.4099723,5.551020408,0,223.06,0.666666667,260,13.44722928,8.396754606,8.090337402,6.955078271,4.852700087,3.682917097,2.570949629,1.61791071,13.11276159,6.961081334,5.89247832,4.694660407,2.636715352,1.655424565,1.058745727,0.608371591,4.201907263,5.457682925,7.62221303,2.726261894,3.044030191,3.608714618,1.661042554,0,0.627664387,0,1.104793692,0,0.398931522,0,0,0,0,0.111111111,0.397483363,0,0,0,0.041666667,0.162570011,0,0,10,2,0,0,0,0,1617.459111,1888.414913,2637.293293,2620.318031,1931.408283,64.27769945,30.71062384,51.42124767,84.2730473,56.94360621,0,0,6.892828,36.867172,357.8444162,0.444444444,0.666666667,0.888888889,356.85,0.082632358,0.077839913,0.077839913,-0.082632358,360.882,0,94,2.625182066,518.4500799,13.44722928,8.396754606,8.577187915,4.693294496,3.507748867,2.30096723,1.44437108,13.11276159,6.961081334,5.89247832,4.694660407,2.636715352,0.18,14.58622781,5.663673596,2.848294789,7.274,81.938,18,0,0,0,0,6,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,134.3080947,0,0,0,0,0,69.60563934,35.39237126,0,30.13579988,0,0,0,0,0,0,0,0,0,0,0,54.40126816,0,11.12690298,69.60563934,0,0,0,0,0,24.26546827,30.13579988,11.12690298,0,0,12,0,6,0,0,0,0,0,0,0,0,18,7,0,0,6,6,0,1,0,0,0,0,0,0,6,0,0,0,4,8,0,0,0,0,2,0,0,0,0,0,0,2.7431,0,0.7998,0.5105,0.122012428,-21.2348,-5.075239006,-20.0459,-4.791085086,-14.68372509,0,0,0,7.274,81.938,360.87816,0,0
466,"2,2',3,3',4,4',5-heptachlorobiphenyl",35065-30-6,10.78,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0,8.316,395.3232161,1,1,2.01,12,10,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,650,35,37.52989093,1.975257417,17.62743672,0,0,5.321928095,0,0.8,0.444444444,0,0,0,0,1.310370697,10.3413478,0,14.0290967,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,271,14.31747277,8.841111713,8.390913301,7.783098872,5.303485008,3.982649537,2.736944561,1.612087993,14.16930474,7.456660838,6.275030232,5.472994675,3.043837509,1.946864694,1.213991018,0.641158911,4.972817901,6.956038421,10.2190173,3.360213197,4.135780369,5.341980875,1.705820496,0,0.818189256,0,1.18034779,0,0.529313343,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1862.548821,2207.299438,3167.830311,3342.118141,2540.793924,72.99064935,33.66239448,57.32478895,104.7930798,77.46363868,0,0,6.219621,38.380379,391.8054439,0.473684211,1,1.631578947,392.303,0.082654798,0.079957118,0.079957118,-0.082654798,395.327,0,100,2.768496896,663.8579667,14.31747277,8.841111713,8.877802119,4.810909527,3.570807614,2.427979181,1.502774645,14.16930474,7.456660838,6.275030232,5.472994675,3.043837509,0.47,15.85126976,6.071664935,2.913305462,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,87.2729463,12.13273414,11.12690298,35.1584332,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.2578,0,0.8551,2.0467,0.48917304,-22.0902,-5.279684512,-19.3557,-4.626123327,-15.40738733,0,0,0,7.9274,86.948,395.32322,0,0
468,"2,2',3,3',4,5,5'-heptachlorobiphenyl",52663-74-8,10.38,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,0,8.316,395.3232161,1,1,2.01,12,9,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,642,34,37.52849684,1.975184044,17.64733685,0,0,5.321928095,0,1,0.5,0,0,0,0,0.965489385,10.56582745,0,14.16083364,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,248,14.31747277,8.82427496,8.531022512,7.447100852,5.421757469,4.212097638,2.721377384,1.558663211,14.16930474,7.450677774,6.359745661,5.15744045,3.128982617,2.118128406,1.2241903,0.616365973,4.650787305,6.727484692,10.31337834,3.0677885,3.889050707,5.326828352,1.802045541,0,0.707078145,0,1.227593349,0,0.4489562,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1863.13435,2208.015716,3166.719803,3330.200909,2641.566749,72.99064935,33.66239448,57.32478895,96.08012986,80.41540932,0,0,6.219621,38.380379,391.8054439,0.473684211,1,1.631578947,392.303,0.084263984,0.079957125,0.079957125,-0.084263984,395.327,0,100,2.798985126,663.8579667,14.31747277,8.82427496,8.877802119,4.804926463,3.597051735,2.3857828,1.520835503,14.16930474,7.450677774,6.359745661,5.15744045,3.128982617,0.47,15.85126976,6.071664935,3.059057815,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,81.20657923,18.19910121,16.1495363,30.13579988,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.2635,0,0.8577,2.0453,0.488838432,-22.1563,-5.295482792,-19.6191,-4.689077438,-15.47034144,0,0,0,7.9274,86.948,395.32322,0,0
470,"2,2',3,3',4,5,6'-heptachlorobiphenyl",38411-25-5,10.22,Clc1cc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c(Cl)c1Cl,0,8.316,395.3232161,1,1,2.01,12,9,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,632,35,37.52638895,1.975073103,17.6691495,0,0,5.321928095,0,1,0.5,0,0,0,0,1.10520945,9.65988462,0,14.97600851,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,246,14.31747277,8.841111713,8.422576087,7.609049044,5.443794243,4.27400471,2.723189979,1.499221815,14.16930474,7.456660838,6.299546146,5.286623717,3.157000411,2.180698405,1.239679631,0.595225259,4.783887845,6.992049068,10.77354527,3.177728474,4.084784937,5.635730116,1.724101015,0,0.761033541,0,1.192605746,0,0.481599232,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1894.298131,2253.529226,3251.197526,3476.129954,2768.003628,72.99064935,33.66239448,57.32478895,99.0319005,83.36717995,0,0,6.219621,38.380379,391.8054439,0.526315789,1.105263158,1.736842105,392.303,0.083605013,0.07995803,0.07995803,-0.083605013,395.327,0,100,2.84038556,663.8579667,14.31747277,8.841111713,8.877802119,4.810909527,3.566087873,2.415952178,1.528755342,14.16930474,7.456660838,6.299546146,5.286623717,3.157000411,0.47,15.85126976,6.071664935,2.913305462,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,81.20657923,18.19910121,11.12690298,35.1584332,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.2183,0,0.8749,2.0463,0.489077438,-22.5183,-5.382002868,-19.9391,-4.765559273,-15.54682327,0,0,0,7.9274,86.948,395.32322,0,0
471,"2,2',3,3',4,5',6-heptachlorobiphenyl",40186-70-7,9.88,Clc1cc(Cl)c(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,0,8.316,395.3232161,1,1,2.01,12,9,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,634,34,37.52597037,1.975051072,17.67756169,0,0,5.321928095,0,1,0.5,0,0,0,0,0.825481812,10.30708209,0,14.61620598,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,246,14.31747277,8.82427496,8.562685298,7.250662053,5.711524173,4.230284752,2.810237509,1.367468082,14.16930474,7.450677774,6.384261575,4.956915223,3.364047791,2.165784214,1.286427492,0.528569229,4.44893097,6.933431353,10.53777173,2.878226643,3.96446257,5.44417715,1.82032606,0,0.649922429,0,1.239851305,0,0.401242089,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1883.238146,2237.657633,3222.053401,3424.666348,2807.406737,72.99064935,33.66239448,57.32478895,90.31895059,92.08012986,0,0,6.219621,38.380379,391.8054439,0.526315789,1.105263158,1.736842105,392.303,0.084263977,0.078540986,0.078540986,-0.084263977,395.327,0,100,2.834076377,663.8579667,14.31747277,8.82427496,8.877802119,4.804926463,3.592331995,2.37648074,1.551006811,14.16930474,7.450677774,6.384261575,4.956915223,3.364047791,0.47,15.85126976,6.071664935,3.059057815,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,81.20657923,18.19910121,16.1495363,30.13579988,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.3813,0,0.9434,2.0457,0.488934034,-24.2717,-5.801075526,-21.8026,-5.210946463,-15.99221046,0,0,0,7.9274,86.948,395.32322,0,0
473,"2,2',3,3',4',5,6-heptachlorobiphenyl",52663-70-4,10.29,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl,0,8.316,395.3232161,1,1,2.01,12,9,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,634,35,37.52676821,1.975093064,17.66491072,0,0,5.321928095,0,1,0.5,0,0,0,0,0.965489385,9.954414852,0,14.80828125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,248,14.31747277,8.841111713,8.422576087,7.604940591,5.465314996,4.268507944,2.645839534,1.521174598,14.16930474,7.456660838,6.299546146,5.284727405,3.17164751,2.174785958,1.19036982,0.603350631,4.799796347,6.900244865,10.84680474,3.190679534,3.984896899,5.673110644,1.724101015,0,0.771587803,0,1.192605746,0,0.48854884,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1891.530032,2249.82821,3244.748232,3468.710624,2759.497761,72.99064935,33.66239448,57.32478895,99.0319005,83.36717995,0,0,6.219621,38.380379,391.8054439,0.526315789,1.052631579,1.578947368,392.303,0.082654798,0.078433008,0.078433008,-0.082654798,395.327,0,100,2.833845732,637.6079667,14.31747277,8.841111713,8.877802119,4.810909527,3.566087873,2.416317251,1.528611278,14.16930474,7.456660838,6.299546146,5.284727405,3.17164751,0.47,15.85126976,6.071664935,2.913305462,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,87.2729463,12.13273414,11.12690298,35.1584332,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.2408,0,0.8779,2.0463,0.489077438,-22.6091,-5.403704589,-19.9274,-4.762762906,-15.54402691,0,0,0,7.9274,86.948,395.32322,0,0
474,"2,2',3,3',5,5',6-heptachlorobiphenyl",52663-67-9,9.83,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,0,8.316,395.3232161,1,1,2.01,12,8,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,626,34,37.52538733,1.975020386,17.68453665,0,0,5.321928095,0,0.75,0.428571429,0,0,0,0,0.727928251,10.11865078,0,14.97600851,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,225,14.31747277,8.82427496,8.562685298,7.268942571,5.587555917,4.463061237,2.72766703,1.388851425,14.16930474,7.450677774,6.384261575,4.969173179,3.257656199,2.333448108,1.253021347,0.534474924,4.47776575,6.67627352,10.87914486,2.898254838,3.739030818,5.638581702,1.82032606,0,0.660476692,0,1.239851305,0,0.408191697,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1893.26737,2252.135076,3245.878372,3459.891208,2866.148291,72.99064935,33.66239448,57.32478895,90.31895059,86.31895059,0,0,6.219621,38.380379,391.8054439,0.526315789,1,1.526315789,392.303,0.084263977,0.068677455,0.068677455,-0.084263977,395.327,0,100,2.865656174,637.6079667,14.31747277,8.82427496,8.877802119,4.804926463,3.592331995,2.37412087,1.547535717,14.16930474,7.450677774,6.384261575,4.969173179,3.257656199,0.47,15.85126976,6.071664935,3.059057815,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,81.20657923,18.19910121,16.1495363,30.13579988,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.3848,0,0.9539,2.0458,0.488957935,-24.5209,-5.860635755,-21.9335,-5.242232314,-16.02349631,0,0,0,7.9274,86.948,395.32322,0,0
475,"2,2',3,3',5,6,6'-heptachlorobiphenyl",52663-64-6,9.81,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,0,8.316,395.3232161,1,1,2.01,12,8,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,616,35,37.52331154,1.974911133,17.70568339,0,0,5.321928095,0,0.75,0.428571429,0,0,0,0,0.863054374,9.17913144,0,15.88453028,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,223,14.31747277,8.841111713,8.454238874,7.436503014,5.562889621,4.640689139,2.671128953,1.266054568,14.16930474,7.456660838,6.324062059,5.099852212,3.264495136,2.477697349,1.227309337,0.476269317,4.617346759,6.86505679,11.49775509,3.009690577,3.904218723,6.07125489,1.742381533,0,0.716302837,0,1.204863703,0,0.441208671,0,0,0,0,0.100916477,0.406374506,0,0,0,0.038875529,0.172137812,0,0,10,2,0,0,0,0,1926.950856,2301.362812,3337.038018,3616.933244,3007.280004,72.99064935,33.66239448,57.32478895,93.27072123,89.27072123,0,0,6.219621,38.380379,391.8054439,0.473684211,0.894736842,1.421052632,392.303,0.083604087,0.068730678,0.068730678,-0.083604087,395.327,0,100,2.909080737,637.6079667,14.31747277,8.841111713,8.877802119,4.810909527,3.561368133,2.405786014,1.548894526,14.16930474,7.456660838,6.324062059,5.099852212,3.264495136,0.47,15.85126976,6.071664935,2.913305462,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,81.20657923,18.19910121,11.12690298,35.1584332,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.245,0,0.9301,2.0466,0.48914914,-23.8362,-5.696988528,-21.2548,-5.08001912,-15.86128312,0,0,0,7.9274,86.948,395.32322,0,0
477,"2,2',3,4,4',5,6-heptachlorobiphenyl",74472-47-2,10.51,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,0,8.316,395.3232161,1,1,2.01,12,10,20,0,22,12,12,7.9992,63.98720064,84.8278,0,2,2,2,2,0,0,2,0,0,100,638,35,37.51750554,1.974605555,17.64906497,0,0,5.321928095,0,0.8,0.444444444,0,0,0,0,1.650963624,9.255307417,0,14.95572554,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15.39,5.78,0,187.07,0.631578947,269,14.31747277,8.841111713,8.432296791,7.523866059,5.656769747,4.177708993,2.63435719,1.498926681,14.16930474,7.456660838,6.302537678,5.234830427,3.378555442,2.128760337,1.188614362,0.593101482,4.661464482,7.259026901,11.1222849,3.106793844,4.406517989,6.101458502,1.733821718,0,0.71433047,0,1.195997825,0,0.457584665,0,0,0,0,0.105078419,0.381935002,0,0,0,0.039681261,0.162980527,0,0,10,2,0,0,0,0,1899.724776,2262.444218,3277.966036,3527.718215,2799.602628,72.99064935,33.66239448,57.32478895,99.0319005,97.84130913,0,0,6.219621,38.380379,391.8054439,0.578947368,1.052631579,1.526315789,392.303,0.084288156,0.080891681,0.080891681,-0.084288156,395.327,0,100,2.827649848,634.6079667,14.31747277,8.841111713,8.877802119,4.810909527,3.569079405,2.410273754,1.53359505,14.16930474,7.456660838,6.302537678,5.234830427,3.378555442,0.47,15.85126976,6.071664935,2.913305462,7.9274,86.948,19,0,0,0,0,7,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,144.6113609,0,0,0,0,0,87.2729463,12.13273414,21.17216961,25.11316657,0,0,0,0,0,0,0,0,0,0,0,53.3575344,0,11.12690298,81.20657923,0,0,0,0,0,18.19910121,35.1584332,11.12690298,0,0,12,0,7,0,0,0,0,0,0,0,0,19,8,0,0,6,6,0,1,0,0,0,0,0,0,7,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,2.2216,0,0.8743,2.0451,0.488790631,-22.5073,-5.379373805,-20.0139,-4.783436902,-15.5647009,0,0,0,7.9274,86.948,395.32322,0,0
